id,title,slug,category,source_page,source,image_filename,image_path
75,ENSALADA DE QUINOA Y RAPE,ensalada-de-quinoa-y-rape,Ensaladas,110,pdf,0075-ensalada-de-quinoa-y-rape.webp,/img/recetas/0075-ensalada-de-quinoa-y-rape.webp
76,ENSALADA DE SANDÍA,ensalada-de-sandia,Ensaladas,112,missing,,
77,ENSALADA DE ESCAROLA Y PALMITO,ensalada-de-escarola-y-palmito,Ensaladas,113,missing,,
78,"AGUACATES RELLENOS DE PAVO, PIÑA, ARROZ Y GAMBAS",aguacates-rellenos-de-pavo-pina-arroz-y-gambas,Ensaladas,114,pdf,0078-aguacates-rellenos-de-pavo-pina-arroz-y-gambas.webp,/img/recetas/0078-aguacates-rellenos-de-pavo-pina-arroz-y-gambas.webp
79,ENSALADA DE MEJILLONES Y GERMINADOS,ensalada-de-mejillones-y-germinados,Ensaladas,116,missing,,
80,ENSALADA DE PERA Y RABANITOS,ensalada-de-pera-y-rabanitos,Ensaladas,117,missing,,
81,ENSALADILLA DE BACALAO,ensaladilla-de-bacalao,Ensaladas,118,pdf,0081-ensaladilla-de-bacalao.webp,/img/recetas/0081-ensaladilla-de-bacalao.webp
82,ENSALADA DE ARROZ CON PAVO Y SETAS,ensalada-de-arroz-con-pavo-y-setas,Ensaladas,120,missing,,
83,ENSALADA DE ESPINACAS Y MELOCOTÓN,ensalada-de-espinacas-y-melocoton,Ensaladas,123,pdf,0083-ensalada-de-espinacas-y-melocoton.webp,/img/recetas/0083-ensalada-de-espinacas-y-melocoton.webp
84,ENSALADA DE ENDIBIAS CON VINAGRETA DE ARÁNDANOS,ensalada-de-endibias-con-vinagreta-de-arandanos,Ensaladas,124,missing,,
85,ENSALADA DE MANCHONES Y JUDÍAS VERDES,ensalada-de-manchones-y-judias-verdes,Ensaladas,125,missing,,
86,ENSALADA DE BEICON Y QUESO DE CABRA,ensalada-de-beicon-y-queso-de-cabra,Ensaladas,126,missing,,
87,ENSALADA DE GARBANZOS Y RÚCULA,ensalada-de-garbanzos-y-rucula,Ensaladas,127,pdf,0087-ensalada-de-garbanzos-y-rucula.webp,/img/recetas/0087-ensalada-de-garbanzos-y-rucula.webp
88,CÓCTEL DE GAMBAS,coctel-de-gambas,Ensaladas,129,pdf,0088-coctel-de-gambas.webp,/img/recetas/0088-coctel-de-gambas.webp
89,ENSALADA DE ARROZ CON PAVO Y CACAHUETES,ensalada-de-arroz-con-pavo-y-cacahuetes,Ensaladas,132,missing,,
90,ENSALADA DE CHAMPIÑONES Y NARANJA,ensalada-de-champinones-y-naranja,Ensaladas,133,missing,,
91,COLES DE BRUSELAS EN SALSA VIZCAÍNA,coles-de-bruselas-en-salsa-vizcaina,"Verduras, hortalizas y setas",135,missing,,
92,GRATINADO DE CEBOLLETAS Y ESPÁRRAGOS CON VELOUTÉ,gratinado-de-cebolletas-y-esparragos-con-veloute,"Verduras, hortalizas y setas",136,missing,,
93,PORRUSALDA,porrusalda,"Verduras, hortalizas y setas",138,pdf,0093-porrusalda.webp,/img/recetas/0093-porrusalda.webp
94,COLES DE BRUSELAS GRATINADAS CON QUESO,coles-de-bruselas-gratinadas-con-queso,"Verduras, hortalizas y setas",140,missing,,
95,ALCACHOFAS CON PATATAS Y BERBERECHOS,alcachofas-con-patatas-y-berberechos,"Verduras, hortalizas y setas",141,missing,,
96,"ALCACHOFAS, PATATAS Y FOIE",alcachofas-patatas-y-foie,"Verduras, hortalizas y setas",142,pdf,0096-alcachofas-patatas-y-foie.webp,/img/recetas/0096-alcachofas-patatas-y-foie.webp
97,BRÓCOLI CON BECHAMEL DE QUESO,brocoli-con-bechamel-de-queso,"Verduras, hortalizas y setas",143,pdf,0097-brocoli-con-bechamel-de-queso.webp,/img/recetas/0097-brocoli-con-bechamel-de-queso.webp
98,ENDIBIAS GUISADAS CON JAMÓN COCIDO,endibias-guisadas-con-jamon-cocido,"Verduras, hortalizas y setas",145,missing,,
99,ALCACHOFAS REBOZADAS CON CREMA DE MAÍZ,alcachofas-rebozadas-con-crema-de-maiz,"Verduras, hortalizas y setas",146,missing,,
100,CEBOLLAS RELLENAS DE ESPINACAS AL QUESO,cebollas-rellenas-de-espinacas-al-queso,"Verduras, hortalizas y setas",148,missing,,
101,ALCACHOFAS CON CHORIZO Y BECHAMEL,alcachofas-con-chorizo-y-bechamel,"Verduras, hortalizas y setas",149,pdf,0101-alcachofas-con-chorizo-y-bechamel.webp,/img/recetas/0101-alcachofas-con-chorizo-y-bechamel.webp
102,QUINOA CON VERDURAS,quinoa-con-verduras,"Verduras, hortalizas y setas",149,missing,,
103,FONDUE DE VERDURAS Y DÁTILES,fondue-de-verduras-y-datiles,"Verduras, hortalizas y setas",151,missing,,
104,ACELGAS RELLENAS DE ARROZ Y CEBOLLA,acelgas-rellenas-de-arroz-y-cebolla,"Verduras, hortalizas y setas",153,missing,,
105,TORTAS DE VERDURAS CON AGUACATE Y QUESO,tortas-de-verduras-con-aguacate-y-queso,"Verduras, hortalizas y setas",154,pdf,0105-tortas-de-verduras-con-aguacate-y-queso.webp,/img/recetas/0105-tortas-de-verduras-con-aguacate-y-queso.webp
106,PUERROS COCIDOS,puerros-cocidos,"Verduras, hortalizas y setas",156,missing,,
107,ACELGAS CON ALMEJAS EN SALSA VERDE,acelgas-con-almejas-en-salsa-verde,"Verduras, hortalizas y setas",157,missing,,
108,CALABACINES RELLENOS DE CARNE PICADA,calabacines-rellenos-de-carne-picada,"Verduras, hortalizas y setas",158,pdf,0108-calabacines-rellenos-de-carne-picada.webp,/img/recetas/0108-calabacines-rellenos-de-carne-picada.webp
109,ALBÓNDIGAS DE ACELGA Y POLLO CON SALSA DE PERA Y CEBOLLETA,albondigas-de-acelga-y-pollo-con-salsa-de-pera-y-cebolleta,"Verduras, hortalizas y setas",161,pdf,0109-albondigas-de-acelga-y-pollo-con-salsa-de-pera-y-cebolleta.webp,/img/recetas/0109-albondigas-de-acelga-y-pollo-con-salsa-de-pera-y-cebolleta.webp
110,COLIFLOR AL HORNO CON SALSA DE NARANJA Y CAVA,coliflor-al-horno-con-salsa-de-naranja-y-cava,"Verduras, hortalizas y setas",164,missing,,
111,CHAMPIÑONES EN TEMPURA DE COLORES,champinones-en-tempura-de-colores,"Verduras, hortalizas y setas",165,missing,,
112,VERDURAS DE TEMPORADA CON SALSA HOLANDESA,verduras-de-temporada-con-salsa-holandesa,"Verduras, hortalizas y setas",166,missing,,
113,PENTAGRAMA PRIMAVERAL,pentagrama-primaveral,"Verduras, hortalizas y setas",167,missing,,
114,CALABACINES RELLENOS CON ESPÁRRAGOS VERDES,calabacines-rellenos-con-esparragos-verdes,"Verduras, hortalizas y setas",168,pdf,0114-calabacines-rellenos-con-esparragos-verdes.webp,/img/recetas/0114-calabacines-rellenos-con-esparragos-verdes.webp
115,BORRAJAS GRATINADAS,borrajas-gratinadas,"Verduras, hortalizas y setas",170,missing,,
116,BROCHETAS DE COLES DE BRUSELAS CON SALSA CURRY,brochetas-de-coles-de-bruselas-con-salsa-curry,"Verduras, hortalizas y setas",171,missing,,
117,"SANJACOBOS DE SETAS, JAMÓN Y QUESO CON SALSA DE PIQUILLOS",sanjacobos-de-setas-jamon-y-queso-con-salsa-de-piquillos,"Verduras, hortalizas y setas",173,pdf,0117-sanjacobos-de-setas-jamon-y-queso-con-salsa-de-piquillos.webp,/img/recetas/0117-sanjacobos-de-setas-jamon-y-queso-con-salsa-de-piquillos.webp
118,HOJAS DE COL RELLENAS DE JAMÓN Y QUESO,hojas-de-col-rellenas-de-jamon-y-queso,"Verduras, hortalizas y setas",174,missing,,
119,TIMBAL DE VERDURAS Y BACALAO,timbal-de-verduras-y-bacalao,"Verduras, hortalizas y setas",175,missing,,
120,PIMIENTOS RELLENOS DE POLLO Y HUEVO,pimientos-rellenos-de-pollo-y-huevo,"Verduras, hortalizas y setas",177,pdf,0120-pimientos-rellenos-de-pollo-y-huevo.webp,/img/recetas/0120-pimientos-rellenos-de-pollo-y-huevo.webp
121,PIMIENTOS MORRONES RELLENOS DE ARROZ Y CARNE,pimientos-morrones-rellenos-de-arroz-y-carne,"Verduras, hortalizas y setas",179,pdf,0121-pimientos-morrones-rellenos-de-arroz-y-carne.webp,/img/recetas/0121-pimientos-morrones-rellenos-de-arroz-y-carne.webp
122,ROMANESCO CON PATATAS Y ALIOLI,romanesco-con-patatas-y-alioli,"Verduras, hortalizas y setas",181,missing,,
123,JUDÍAS VERDES CON PAN FRITO Y MAYONESA DE AZAFRÁN,judias-verdes-con-pan-frito-y-mayonesa-de-azafran,"Verduras, hortalizas y setas",182,missing,,
124,ROMANESCO CON MORCILLA Y SALSA DE ALUBIAS,romanesco-con-morcilla-y-salsa-de-alubias,"Verduras, hortalizas y setas",183,missing,,
125,PENCAS RELLENAS CON SALSA DE TOMATES SECOS,pencas-rellenas-con-salsa-de-tomates-secos,"Verduras, hortalizas y setas",184,missing,,
126,JUDÍAS VERDES CON MOLLEJAS DE CORDERO,judias-verdes-con-mollejas-de-cordero,"Verduras, hortalizas y setas",185,pdf,0126-judias-verdes-con-mollejas-de-cordero.webp,/img/recetas/0126-judias-verdes-con-mollejas-de-cordero.webp
127,TOMATE RELLENO,tomate-relleno,"Verduras, hortalizas y setas",187,pdf,0127-tomate-relleno.webp,/img/recetas/0127-tomate-relleno.webp
128,ACHICORIA CON BECHAMEL,achicoria-con-bechamel,"Verduras, hortalizas y setas",189,missing,,
129,COLES DE BRUSELAS CON PURÉ DE PATATA Y QUESO,coles-de-bruselas-con-pure-de-patata-y-queso,"Verduras, hortalizas y setas",190,missing,,
130,BERENJENAS RELLENAS DE CUSCÚS Y PAVO,berenjenas-rellenas-de-cuscus-y-pavo,"Verduras, hortalizas y setas",191,missing,,
131,JUDÍAS VERDES A LA GALLEGA,judias-verdes-a-la-gallega,"Verduras, hortalizas y setas",192,missing,,
132,VERDURAS A LA PLANCHA DOS SALSAS,verduras-a-la-plancha-dos-salsas,"Verduras, hortalizas y setas",193,pdf,0132-verduras-a-la-plancha-dos-salsas.webp,/img/recetas/0132-verduras-a-la-plancha-dos-salsas.webp
133,"BOCADOS DE CALABACÍN, JAMÓN Y QUESO",bocados-de-calabacin-jamon-y-queso,"Verduras, hortalizas y setas",195,pdf,0133-bocados-de-calabacin-jamon-y-queso.webp,/img/recetas/0133-bocados-de-calabacin-jamon-y-queso.webp
134,RATATOUILLE,ratatouille,"Verduras, hortalizas y setas",197,missing,,
135,BRÓCOLI Y MEJILLONES EN SALSA VERDE,brocoli-y-mejillones-en-salsa-verde,"Verduras, hortalizas y setas",198,missing,,
136,ACHICORIA CON CALABACÍN Y MANZANA,achicoria-con-calabacin-y-manzana,"Verduras, hortalizas y setas",199,missing,,
137,REPOLLO CON ZANAHORIA Y MORCILLA,repollo-con-zanahoria-y-morcilla,"Verduras, hortalizas y setas",200,missing,,
138,COLES DE BRUSELAS CON BECHAMEL DE MOSTAZA,coles-de-bruselas-con-bechamel-de-mostaza,"Verduras, hortalizas y setas",201,pdf,0138-coles-de-bruselas-con-bechamel-de-mostaza.webp,/img/recetas/0138-coles-de-bruselas-con-bechamel-de-mostaza.webp
139,COLIFLOR CON BECHAMEL Y JAMÓN,coliflor-con-bechamel-y-jamon,"Verduras, hortalizas y setas",203,missing,,
140,PIMIENTOS RELLENOS DE MORCILLA,pimientos-rellenos-de-morcilla,"Verduras, hortalizas y setas",204,missing,,
141,HOJAS DE COL RELLENAS DE MORCILLA DE ARROZ,hojas-de-col-rellenas-de-morcilla-de-arroz,"Verduras, hortalizas y setas",206,pdf,0141-hojas-de-col-rellenas-de-morcilla-de-arroz.webp,/img/recetas/0141-hojas-de-col-rellenas-de-morcilla-de-arroz.webp
142,BRÓCOLI CON PATATAS Y QUESO,brocoli-con-patatas-y-queso,"Verduras, hortalizas y setas",208,pdf,0142-brocoli-con-patatas-y-queso.webp,/img/recetas/0142-brocoli-con-patatas-y-queso.webp
143,PIMIENTOS RELLENOS DE TORTILLA DE PATATAS CON MORCILLA,pimientos-rellenos-de-tortilla-de-patatas-con-morcilla,"Verduras, hortalizas y setas",210,missing,,
144,GRATINADO DE CALABACÍN AL ROMERO,gratinado-de-calabacin-al-romero,"Verduras, hortalizas y setas",211,missing,,
145,"ALBÓNDIGAS DE ESPINACAS, QUESO Y PIÑONES",albondigas-de-espinacas-queso-y-pinones,"Verduras, hortalizas y setas",212,missing,,
146,"JUDÍAS VERDES CON PATATAS, JAMÓN Y HUEVO",judias-verdes-con-patatas-jamon-y-huevo,"Verduras, hortalizas y setas",213,missing,,
147,ACELGAS CON HIGOS Y NUECES,acelgas-con-higos-y-nueces,"Verduras, hortalizas y setas",214,pdf,0147-acelgas-con-higos-y-nueces.webp,/img/recetas/0147-acelgas-con-higos-y-nueces.webp
148,"PASTEL DE ESPÁRRAGOS, SETAS Y PAVO CURADO",pastel-de-esparragos-setas-y-pavo-curado,"Verduras, hortalizas y setas",217,pdf,0148-pastel-de-esparragos-setas-y-pavo-curado.webp,/img/recetas/0148-pastel-de-esparragos-setas-y-pavo-curado.webp
149,COLIFLOR Y BRÓCOLI EN ESCABECHE,coliflor-y-brocoli-en-escabeche,"Verduras, hortalizas y setas",219,missing,,
150,PENCAS RELLENAS DE PAVO Y SETAS,pencas-rellenas-de-pavo-y-setas,"Verduras, hortalizas y setas",221,missing,,
151,ALCACHOFAS CON HUEVO Y TRUFA,alcachofas-con-huevo-y-trufa,"Verduras, hortalizas y setas",221,missing,,
152,JUDÍAS VERDES CON ALMEJAS,judias-verdes-con-almejas,"Verduras, hortalizas y setas",222,missing,,
153,CALABACÍN CON MORCILLA Y HUEVO ESCALFADO,calabacin-con-morcilla-y-huevo-escalfado,"Verduras, hortalizas y setas",223,pdf,0153-calabacin-con-morcilla-y-huevo-escalfado.webp,/img/recetas/0153-calabacin-con-morcilla-y-huevo-escalfado.webp
154,VERDURAS A LA PAPILLOTE CON SALSA HOLANDESA,verduras-a-la-papillote-con-salsa-holandesa,"Verduras, hortalizas y setas",225,missing,,
155,BIMI CON PURÉ DE PATATAS,bimi-con-pure-de-patatas,"Verduras, hortalizas y setas",226,missing,,
156,ESPÁRRAGOS CON VINAGRETA DE FRAMBUESA,esparragos-con-vinagreta-de-frambuesa,"Verduras, hortalizas y setas",227,pdf,0156-esparragos-con-vinagreta-de-frambuesa.webp,/img/recetas/0156-esparragos-con-vinagreta-de-frambuesa.webp
157,MENESTRA DE INVIERNO,menestra-de-invierno,"Verduras, hortalizas y setas",229,missing,,
158,BORRAJA CON PATATAS Y JAMÓN,borraja-con-patatas-y-jamon,"Verduras, hortalizas y setas",232,pdf,0158-borraja-con-patatas-y-jamon.webp,/img/recetas/0158-borraja-con-patatas-y-jamon.webp
159,BORRAJA CON ARROZ Y SETAS,borraja-con-arroz-y-setas,"Verduras, hortalizas y setas",233,missing,,
160,BRÓCOLI CON CALABAZA Y PATATA,brocoli-con-calabaza-y-patata,"Verduras, hortalizas y setas",234,missing,,
161,HAMBURGUESAS DE VERDURAS CON SALSA DE TOMATE,hamburguesas-de-verduras-con-salsa-de-tomate,"Verduras, hortalizas y setas",235,missing,,
162,HAMBURGUESAS DE POLENTA Y VERDURAS CON SALSA DE QUESO,hamburguesas-de-polenta-y-verduras-con-salsa-de-queso,"Verduras, hortalizas y setas",236,pdf,0162-hamburguesas-de-polenta-y-verduras-con-salsa-de-queso.webp,/img/recetas/0162-hamburguesas-de-polenta-y-verduras-con-salsa-de-queso.webp
163,ROMANESCO CON BECHAMEL Y TEJAS DE JAMÓN,romanesco-con-bechamel-y-tejas-de-jamon,"Verduras, hortalizas y setas",238,missing,,
164,BORRAJA CON BERBERECHOS Y JAMÓN,borraja-con-berberechos-y-jamon,"Verduras, hortalizas y setas",239,missing,,
165,BERENJENAS RELLENAS DE QUESO Y SOBRASADA,berenjenas-rellenas-de-queso-y-sobrasada,"Verduras, hortalizas y setas",240,pdf,0165-berenjenas-rellenas-de-queso-y-sobrasada.webp,/img/recetas/0165-berenjenas-rellenas-de-queso-y-sobrasada.webp
