id,title,slug,category,source_page,expected_filename,search_query_suggestion
74,ENSALADA DE CANÓNIGOS Y RABANITOS,ensalada-de-canonigos-y-rabanitos,Ensaladas,109,0074-ensalada-de-canonigos-y-rabanitos.webp,ENSALADA DE CANÓNIGOS Y RABANITOS receta foto
76,ENSALADA DE SANDÍA,ensalada-de-sandia,Ensaladas,112,0076-ensalada-de-sandia.webp,ENSALADA DE SANDÍA receta foto
77,ENSALADA DE ESCAROLA Y PALMITO,ensalada-de-escarola-y-palmito,Ensaladas,113,0077-ensalada-de-escarola-y-palmito.webp,ENSALADA DE ESCAROLA Y PALMITO receta foto
79,ENSALADA DE MEJILLONES Y GERMINADOS,ensalada-de-mejillones-y-germinados,Ensaladas,116,0079-ensalada-de-mejillones-y-germinados.webp,ENSALADA DE MEJILLONES Y GERMINADOS receta foto
80,ENSALADA DE PERA Y RABANITOS,ensalada-de-pera-y-rabanitos,Ensaladas,117,0080-ensalada-de-pera-y-rabanitos.webp,ENSALADA DE PERA Y RABANITOS receta foto
82,ENSALADA DE ARROZ CON PAVO Y SETAS,ensalada-de-arroz-con-pavo-y-setas,Ensaladas,120,0082-ensalada-de-arroz-con-pavo-y-setas.webp,ENSALADA DE ARROZ CON PAVO Y SETAS receta foto
84,ENSALADA DE ENDIBIAS CON VINAGRETA DE ARÁNDANOS,ensalada-de-endibias-con-vinagreta-de-arandanos,Ensaladas,124,0084-ensalada-de-endibias-con-vinagreta-de-arandanos.webp,ENSALADA DE ENDIBIAS CON VINAGRETA DE ARÁNDANOS receta foto
85,ENSALADA DE MANCHONES Y JUDÍAS VERDES,ensalada-de-manchones-y-judias-verdes,Ensaladas,125,0085-ensalada-de-manchones-y-judias-verdes.webp,ENSALADA DE MANCHONES Y JUDÍAS VERDES receta foto
86,ENSALADA DE BEICON Y QUESO DE CABRA,ensalada-de-beicon-y-queso-de-cabra,Ensaladas,126,0086-ensalada-de-beicon-y-queso-de-cabra.webp,ENSALADA DE BEICON Y QUESO DE CABRA receta foto
89,ENSALADA DE ARROZ CON PAVO Y CACAHUETES,ensalada-de-arroz-con-pavo-y-cacahuetes,Ensaladas,132,0089-ensalada-de-arroz-con-pavo-y-cacahuetes.webp,ENSALADA DE ARROZ CON PAVO Y CACAHUETES receta foto
90,ENSALADA DE CHAMPIÑONES Y NARANJA,ensalada-de-champinones-y-naranja,Ensaladas,133,0090-ensalada-de-champinones-y-naranja.webp,ENSALADA DE CHAMPIÑONES Y NARANJA receta foto
91,COLES DE BRUSELAS EN SALSA VIZCAÍNA,coles-de-bruselas-en-salsa-vizcaina,"Verduras, hortalizas y setas",135,0091-coles-de-bruselas-en-salsa-vizcaina.webp,COLES DE BRUSELAS EN SALSA VIZCAÍNA receta foto
92,GRATINADO DE CEBOLLETAS Y ESPÁRRAGOS CON VELOUTÉ,gratinado-de-cebolletas-y-esparragos-con-veloute,"Verduras, hortalizas y setas",136,0092-gratinado-de-cebolletas-y-esparragos-con-veloute.webp,GRATINADO DE CEBOLLETAS Y ESPÁRRAGOS CON VELOUTÉ receta foto
94,COLES DE BRUSELAS GRATINADAS CON QUESO,coles-de-bruselas-gratinadas-con-queso,"Verduras, hortalizas y setas",140,0094-coles-de-bruselas-gratinadas-con-queso.webp,COLES DE BRUSELAS GRATINADAS CON QUESO receta foto
95,ALCACHOFAS CON PATATAS Y BERBERECHOS,alcachofas-con-patatas-y-berberechos,"Verduras, hortalizas y setas",141,0095-alcachofas-con-patatas-y-berberechos.webp,ALCACHOFAS CON PATATAS Y BERBERECHOS receta foto
98,ENDIBIAS GUISADAS CON JAMÓN COCIDO,endibias-guisadas-con-jamon-cocido,"Verduras, hortalizas y setas",145,0098-endibias-guisadas-con-jamon-cocido.webp,ENDIBIAS GUISADAS CON JAMÓN COCIDO receta foto
99,ALCACHOFAS REBOZADAS CON CREMA DE MAÍZ,alcachofas-rebozadas-con-crema-de-maiz,"Verduras, hortalizas y setas",146,0099-alcachofas-rebozadas-con-crema-de-maiz.webp,ALCACHOFAS REBOZADAS CON CREMA DE MAÍZ receta foto
100,CEBOLLAS RELLENAS DE ESPINACAS AL QUESO,cebollas-rellenas-de-espinacas-al-queso,"Verduras, hortalizas y setas",148,0100-cebollas-rellenas-de-espinacas-al-queso.webp,CEBOLLAS RELLENAS DE ESPINACAS AL QUESO receta foto
102,QUINOA CON VERDURAS,quinoa-con-verduras,"Verduras, hortalizas y setas",149,0102-quinoa-con-verduras.webp,QUINOA CON VERDURAS receta foto
103,FONDUE DE VERDURAS Y DÁTILES,fondue-de-verduras-y-datiles,"Verduras, hortalizas y setas",151,0103-fondue-de-verduras-y-datiles.webp,FONDUE DE VERDURAS Y DÁTILES receta foto
104,ACELGAS RELLENAS DE ARROZ Y CEBOLLA,acelgas-rellenas-de-arroz-y-cebolla,"Verduras, hortalizas y setas",153,0104-acelgas-rellenas-de-arroz-y-cebolla.webp,ACELGAS RELLENAS DE ARROZ Y CEBOLLA receta foto
106,PUERROS COCIDOS,puerros-cocidos,"Verduras, hortalizas y setas",156,0106-puerros-cocidos.webp,PUERROS COCIDOS receta foto
107,ACELGAS CON ALMEJAS EN SALSA VERDE,acelgas-con-almejas-en-salsa-verde,"Verduras, hortalizas y setas",157,0107-acelgas-con-almejas-en-salsa-verde.webp,ACELGAS CON ALMEJAS EN SALSA VERDE receta foto
110,COLIFLOR AL HORNO CON SALSA DE NARANJA Y CAVA,coliflor-al-horno-con-salsa-de-naranja-y-cava,"Verduras, hortalizas y setas",164,0110-coliflor-al-horno-con-salsa-de-naranja-y-cava.webp,COLIFLOR AL HORNO CON SALSA DE NARANJA Y CAVA receta foto
111,CHAMPIÑONES EN TEMPURA DE COLORES,champinones-en-tempura-de-colores,"Verduras, hortalizas y setas",165,0111-champinones-en-tempura-de-colores.webp,CHAMPIÑONES EN TEMPURA DE COLORES receta foto
112,VERDURAS DE TEMPORADA CON SALSA HOLANDESA,verduras-de-temporada-con-salsa-holandesa,"Verduras, hortalizas y setas",166,0112-verduras-de-temporada-con-salsa-holandesa.webp,VERDURAS DE TEMPORADA CON SALSA HOLANDESA receta foto
113,PENTAGRAMA PRIMAVERAL,pentagrama-primaveral,"Verduras, hortalizas y setas",167,0113-pentagrama-primaveral.webp,PENTAGRAMA PRIMAVERAL receta foto
115,BORRAJAS GRATINADAS,borrajas-gratinadas,"Verduras, hortalizas y setas",170,0115-borrajas-gratinadas.webp,BORRAJAS GRATINADAS receta foto
116,BROCHETAS DE COLES DE BRUSELAS CON SALSA CURRY,brochetas-de-coles-de-bruselas-con-salsa-curry,"Verduras, hortalizas y setas",171,0116-brochetas-de-coles-de-bruselas-con-salsa-curry.webp,BROCHETAS DE COLES DE BRUSELAS CON SALSA CURRY receta foto
118,HOJAS DE COL RELLENAS DE JAMÓN Y QUESO,hojas-de-col-rellenas-de-jamon-y-queso,"Verduras, hortalizas y setas",174,0118-hojas-de-col-rellenas-de-jamon-y-queso.webp,HOJAS DE COL RELLENAS DE JAMÓN Y QUESO receta foto
119,TIMBAL DE VERDURAS Y BACALAO,timbal-de-verduras-y-bacalao,"Verduras, hortalizas y setas",175,0119-timbal-de-verduras-y-bacalao.webp,TIMBAL DE VERDURAS Y BACALAO receta foto
122,ROMANESCO CON PATATAS Y ALIOLI,romanesco-con-patatas-y-alioli,"Verduras, hortalizas y setas",181,0122-romanesco-con-patatas-y-alioli.webp,ROMANESCO CON PATATAS Y ALIOLI receta foto
123,JUDÍAS VERDES CON PAN FRITO Y MAYONESA DE AZAFRÁN,judias-verdes-con-pan-frito-y-mayonesa-de-azafran,"Verduras, hortalizas y setas",182,0123-judias-verdes-con-pan-frito-y-mayonesa-de-azafran.webp,JUDÍAS VERDES CON PAN FRITO Y MAYONESA DE AZAFRÁN receta foto
124,ROMANESCO CON MORCILLA Y SALSA DE ALUBIAS,romanesco-con-morcilla-y-salsa-de-alubias,"Verduras, hortalizas y setas",183,0124-romanesco-con-morcilla-y-salsa-de-alubias.webp,ROMANESCO CON MORCILLA Y SALSA DE ALUBIAS receta foto
125,PENCAS RELLENAS CON SALSA DE TOMATES SECOS,pencas-rellenas-con-salsa-de-tomates-secos,"Verduras, hortalizas y setas",184,0125-pencas-rellenas-con-salsa-de-tomates-secos.webp,PENCAS RELLENAS CON SALSA DE TOMATES SECOS receta foto
128,ACHICORIA CON BECHAMEL,achicoria-con-bechamel,"Verduras, hortalizas y setas",189,0128-achicoria-con-bechamel.webp,ACHICORIA CON BECHAMEL receta foto
129,COLES DE BRUSELAS CON PURÉ DE PATATA Y QUESO,coles-de-bruselas-con-pure-de-patata-y-queso,"Verduras, hortalizas y setas",190,0129-coles-de-bruselas-con-pure-de-patata-y-queso.webp,COLES DE BRUSELAS CON PURÉ DE PATATA Y QUESO receta foto
130,BERENJENAS RELLENAS DE CUSCÚS Y PAVO,berenjenas-rellenas-de-cuscus-y-pavo,"Verduras, hortalizas y setas",191,0130-berenjenas-rellenas-de-cuscus-y-pavo.webp,BERENJENAS RELLENAS DE CUSCÚS Y PAVO receta foto
131,JUDÍAS VERDES A LA GALLEGA,judias-verdes-a-la-gallega,"Verduras, hortalizas y setas",192,0131-judias-verdes-a-la-gallega.webp,JUDÍAS VERDES A LA GALLEGA receta foto
134,RATATOUILLE,ratatouille,"Verduras, hortalizas y setas",197,0134-ratatouille.webp,RATATOUILLE receta foto
135,BRÓCOLI Y MEJILLONES EN SALSA VERDE,brocoli-y-mejillones-en-salsa-verde,"Verduras, hortalizas y setas",198,0135-brocoli-y-mejillones-en-salsa-verde.webp,BRÓCOLI Y MEJILLONES EN SALSA VERDE receta foto
136,ACHICORIA CON CALABACÍN Y MANZANA,achicoria-con-calabacin-y-manzana,"Verduras, hortalizas y setas",199,0136-achicoria-con-calabacin-y-manzana.webp,ACHICORIA CON CALABACÍN Y MANZANA receta foto
137,REPOLLO CON ZANAHORIA Y MORCILLA,repollo-con-zanahoria-y-morcilla,"Verduras, hortalizas y setas",200,0137-repollo-con-zanahoria-y-morcilla.webp,REPOLLO CON ZANAHORIA Y MORCILLA receta foto
139,COLIFLOR CON BECHAMEL Y JAMÓN,coliflor-con-bechamel-y-jamon,"Verduras, hortalizas y setas",203,0139-coliflor-con-bechamel-y-jamon.webp,COLIFLOR CON BECHAMEL Y JAMÓN receta foto
140,PIMIENTOS RELLENOS DE MORCILLA,pimientos-rellenos-de-morcilla,"Verduras, hortalizas y setas",204,0140-pimientos-rellenos-de-morcilla.webp,PIMIENTOS RELLENOS DE MORCILLA receta foto
143,PIMIENTOS RELLENOS DE TORTILLA DE PATATAS CON MORCILLA,pimientos-rellenos-de-tortilla-de-patatas-con-morcilla,"Verduras, hortalizas y setas",210,0143-pimientos-rellenos-de-tortilla-de-patatas-con-morcilla.webp,PIMIENTOS RELLENOS DE TORTILLA DE PATATAS CON MORCILLA receta foto
144,GRATINADO DE CALABACÍN AL ROMERO,gratinado-de-calabacin-al-romero,"Verduras, hortalizas y setas",211,0144-gratinado-de-calabacin-al-romero.webp,GRATINADO DE CALABACÍN AL ROMERO receta foto
145,"ALBÓNDIGAS DE ESPINACAS, QUESO Y PIÑONES",albondigas-de-espinacas-queso-y-pinones,"Verduras, hortalizas y setas",212,0145-albondigas-de-espinacas-queso-y-pinones.webp,"ALBÓNDIGAS DE ESPINACAS, QUESO Y PIÑONES receta foto"
146,"JUDÍAS VERDES CON PATATAS, JAMÓN Y HUEVO",judias-verdes-con-patatas-jamon-y-huevo,"Verduras, hortalizas y setas",213,0146-judias-verdes-con-patatas-jamon-y-huevo.webp,"JUDÍAS VERDES CON PATATAS, JAMÓN Y HUEVO receta foto"
149,COLIFLOR Y BRÓCOLI EN ESCABECHE,coliflor-y-brocoli-en-escabeche,"Verduras, hortalizas y setas",219,0149-coliflor-y-brocoli-en-escabeche.webp,COLIFLOR Y BRÓCOLI EN ESCABECHE receta foto
150,PENCAS RELLENAS DE PAVO Y SETAS,pencas-rellenas-de-pavo-y-setas,"Verduras, hortalizas y setas",221,0150-pencas-rellenas-de-pavo-y-setas.webp,PENCAS RELLENAS DE PAVO Y SETAS receta foto
151,ALCACHOFAS CON HUEVO Y TRUFA,alcachofas-con-huevo-y-trufa,"Verduras, hortalizas y setas",221,0151-alcachofas-con-huevo-y-trufa.webp,ALCACHOFAS CON HUEVO Y TRUFA receta foto
152,JUDÍAS VERDES CON ALMEJAS,judias-verdes-con-almejas,"Verduras, hortalizas y setas",222,0152-judias-verdes-con-almejas.webp,JUDÍAS VERDES CON ALMEJAS receta foto
154,VERDURAS A LA PAPILLOTE CON SALSA HOLANDESA,verduras-a-la-papillote-con-salsa-holandesa,"Verduras, hortalizas y setas",225,0154-verduras-a-la-papillote-con-salsa-holandesa.webp,VERDURAS A LA PAPILLOTE CON SALSA HOLANDESA receta foto
155,BIMI CON PURÉ DE PATATAS,bimi-con-pure-de-patatas,"Verduras, hortalizas y setas",226,0155-bimi-con-pure-de-patatas.webp,BIMI CON PURÉ DE PATATAS receta foto
157,MENESTRA DE INVIERNO,menestra-de-invierno,"Verduras, hortalizas y setas",229,0157-menestra-de-invierno.webp,MENESTRA DE INVIERNO receta foto
159,BORRAJA CON ARROZ Y SETAS,borraja-con-arroz-y-setas,"Verduras, hortalizas y setas",233,0159-borraja-con-arroz-y-setas.webp,BORRAJA CON ARROZ Y SETAS receta foto
160,BRÓCOLI CON CALABAZA Y PATATA,brocoli-con-calabaza-y-patata,"Verduras, hortalizas y setas",234,0160-brocoli-con-calabaza-y-patata.webp,BRÓCOLI CON CALABAZA Y PATATA receta foto
161,HAMBURGUESAS DE VERDURAS CON SALSA DE TOMATE,hamburguesas-de-verduras-con-salsa-de-tomate,"Verduras, hortalizas y setas",235,0161-hamburguesas-de-verduras-con-salsa-de-tomate.webp,HAMBURGUESAS DE VERDURAS CON SALSA DE TOMATE receta foto
163,ROMANESCO CON BECHAMEL Y TEJAS DE JAMÓN,romanesco-con-bechamel-y-tejas-de-jamon,"Verduras, hortalizas y setas",238,0163-romanesco-con-bechamel-y-tejas-de-jamon.webp,ROMANESCO CON BECHAMEL Y TEJAS DE JAMÓN receta foto
164,BORRAJA CON BERBERECHOS Y JAMÓN,borraja-con-berberechos-y-jamon,"Verduras, hortalizas y setas",239,0164-borraja-con-berberechos-y-jamon.webp,BORRAJA CON BERBERECHOS Y JAMÓN receta foto
167,VERDURAS AL CURRY CON ARROZ BASMATI,verduras-al-curry-con-arroz-basmati,"Verduras, hortalizas y setas",244,0167-verduras-al-curry-con-arroz-basmati.webp,VERDURAS AL CURRY CON ARROZ BASMATI receta foto
168,BISALTOS CON PATATAS,bisaltos-con-patatas,"Verduras, hortalizas y setas",246,0168-bisaltos-con-patatas.webp,BISALTOS CON PATATAS receta foto
169,CREMA DE BRÓCOLI CON GAMBAS GABARDINA,crema-de-brocoli-con-gambas-gabardina,"Verduras, hortalizas y setas",246,0169-crema-de-brocoli-con-gambas-gabardina.webp,CREMA DE BRÓCOLI CON GAMBAS GABARDINA receta foto
170,CARDO CON FOIE Y ALMENDRAS,cardo-con-foie-y-almendras,"Verduras, hortalizas y setas",247,0170-cardo-con-foie-y-almendras.webp,CARDO CON FOIE Y ALMENDRAS receta foto
172,TEMPURA DE HORTALIZAS Y LANGOSTINOS,tempura-de-hortalizas-y-langostinos,"Verduras, hortalizas y setas",250,0172-tempura-de-hortalizas-y-langostinos.webp,TEMPURA DE HORTALIZAS Y LANGOSTINOS receta foto
173,BUÑUELOS DE COLIFLOR CON SALSA DE LECHUGA,bunuelos-de-coliflor-con-salsa-de-lechuga,"Verduras, hortalizas y setas",251,0173-bunuelos-de-coliflor-con-salsa-de-lechuga.webp,BUÑUELOS DE COLIFLOR CON SALSA DE LECHUGA receta foto
174,PENCAS RELLENAS CON SALSA DE CHORICEROS,pencas-rellenas-con-salsa-de-choriceros,"Verduras, hortalizas y setas",252,0174-pencas-rellenas-con-salsa-de-choriceros.webp,PENCAS RELLENAS CON SALSA DE CHORICEROS receta foto
177,"TIMBAL DE PATATA, LANGOSTINOS, AGUACATE Y TOMATE",timbal-de-patata-langostinos-aguacate-y-tomate,"Verduras, hortalizas y setas",260,0177-timbal-de-patata-langostinos-aguacate-y-tomate.webp,"TIMBAL DE PATATA, LANGOSTINOS, AGUACATE Y TOMATE receta foto"
178,PATATAS BRAVAS CON SALCHICHAS,patatas-bravas-con-salchichas,"Verduras, hortalizas y setas",260,0178-patatas-bravas-con-salchichas.webp,PATATAS BRAVAS CON SALCHICHAS receta foto
179,PATATAS CON ENSALADILLA DE CABEZA DE JABALÍ,patatas-con-ensaladilla-de-cabeza-de-jabali,"Verduras, hortalizas y setas",262,0179-patatas-con-ensaladilla-de-cabeza-de-jabali.webp,PATATAS CON ENSALADILLA DE CABEZA DE JABALÍ receta foto
181,PATATAS EN SALSA VERDE CON HUEVOS AL PLATO,patatas-en-salsa-verde-con-huevos-al-plato,"Verduras, hortalizas y setas",264,0181-patatas-en-salsa-verde-con-huevos-al-plato.webp,PATATAS EN SALSA VERDE CON HUEVOS AL PLATO receta foto
182,PATATAS A LA ALCORINA,patatas-a-la-alcorina,"Verduras, hortalizas y setas",265,0182-patatas-a-la-alcorina.webp,PATATAS A LA ALCORINA receta foto
185,PATATAS EN CALDILLO,patatas-en-caldillo,"Verduras, hortalizas y setas",270,0185-patatas-en-caldillo.webp,PATATAS EN CALDILLO receta foto
